------------------
Parameters [tc: 0.001 ]
day	 Daily Return	 Total return
1 	 0.9995 	 0.9995
2 	 0.999999749874937 	 0.99949975
3 	 0.999999999874937 	 0.999499749875
4 	 0.999999999999937 	 0.999499749874938
5 	 1 	 0.999499749874938
6 	 1 	 0.999499749874938
7 	 1 	 0.999499749874938
8 	 1 	 0.999499749874938
9 	 1 	 0.999499749874938
10 	 1 	 0.999499749874938
11 	 1 	 0.999499749874938
12 	 1 	 0.999499749874938
13 	 1 	 0.999499749874938
14 	 1 	 0.999499749874938
15 	 1 	 0.999499749874938
16 	 1.0995800839832 	 1.09903001890867
17 	 1 	 1.09903001890867
18 	 1 	 1.09903001890867
19 	 1 	 1.09903001890867
20 	 1 	 1.09903001890867
21 	 1 	 1.09903001890867
22 	 1 	 1.09903001890867
23 	 1 	 1.09903001890867
24 	 1 	 1.09903001890867
25 	 1 	 1.09903001890867
26 	 1.18221494817239 	 1.29928971684402
27 	 1 	 1.29928971684402
28 	 1 	 1.29928971684402
29 	 1 	 1.29928971684402
30 	 1.15366866635902 	 1.49894983484544
31 	 1 	 1.49894983484544
32 	 1.3 	 1.94863478529907
33 	 1 	 1.94863478529907
34 	 1 	 1.94863478529907
35 	 1 	 1.94863478529907
36 	 1 	 1.94863478529907
37 	 1 	 1.94863478529907
38 	 1 	 1.94863478529907
39 	 1.02553846153846 	 1.99839991981594
40 	 1 	 1.99839991981594
41 	 1 	 1.99839991981594
42 	 1 	 1.99839991981594
43 	 1 	 1.99839991981594
44 	 1 	 1.99839991981594
45 	 1.1002100210021 	 2.19865961775129
46 	 1 	 2.19865961775129
47 	 1 	 2.19865961775129
48 	 1 	 2.19865961775129
49 	 1 	 2.19865961775129
50 	 1 	 2.19865961775129
51 	 1 	 2.19865961775129
52 	 1 	 2.19865961775129
53 	 1 	 2.19865961775129
54 	 1 	 2.19865961775129
55 	 1 	 2.19865961775129
56 	 1 	 2.19865961775129
57 	 1 	 2.19865961775129
58 	 1 	 2.19865961775129
59 	 1 	 2.19865961775129
60 	 1 	 2.19865961775129
61 	 1 	 2.19865961775129
62 	 1 	 2.19865961775129
63 	 1 	 2.19865961775129
64 	 1 	 2.19865961775129
65 	 1 	 2.19865961775129
66 	 1 	 2.19865961775129
67 	 1 	 2.19865961775129
68 	 1 	 2.19865961775129
69 	 1 	 2.19865961775129
70 	 1 	 2.19865961775129
71 	 0.795473138805563 	 1.74897466729766
72 	 1 	 1.74897466729766
73 	 1 	 1.74897466729766
74 	 0.971203291052451 	 1.69860995284685
75 	 1 	 1.69860995284685
76 	 1.05894811154253 	 1.79873980181453
77 	 1 	 1.79873980181453
78 	 1 	 1.79873980181453
79 	 1 	 1.79873980181453
80 	 1 	 1.79873980181453
81 	 1 	 1.79873980181453
82 	 1 	 1.79873980181453
83 	 1 	 1.79873980181453
84 	 1 	 1.79873980181453
85 	 1 	 1.79873980181453
86 	 1 	 1.79873980181453
87 	 1 	 1.79873980181453
88 	 1 	 1.79873980181453
89 	 1.05566666666667 	 1.8988696507822
90 	 1 	 1.8988696507822
91 	 1 	 1.8988696507822
92 	 1 	 1.8988696507822
93 	 1 	 1.8988696507822
94 	 1 	 1.8988696507822
95 	 1 	 1.8988696507822
96 	 1 	 1.8988696507822
97 	 1 	 1.8988696507822
98 	 1.31575623618566 	 2.49844958472038
99 	 1 	 2.49844958472038
100 	 1 	 2.49844958472038
101 	 1 	 2.49844958472038
102 	 1 	 2.49844958472038
103 	 1 	 2.49844958472038
104 	 1 	 2.49844958472038
105 	 1 	 2.49844958472038
106 	 1 	 2.49844958472038
107 	 1 	 2.49844958472038
108 	 1 	 2.49844958472038
109 	 1.39980801535877 	 3.49734975466138
110 	 1.14297959883422 	 3.99739941956581
111 	 1 	 3.99739941956581
112 	 1 	 3.99739941956581
113 	 1 	 3.99739941956581
114 	 1 	 3.99739941956581
115 	 1 	 3.99739941956581
116 	 1 	 3.99739941956581
117 	 1 	 3.99739941956581
118 	 0.875506224688766 	 3.49974807439713
119 	 0.873222545828337 	 3.05605892328288
120 	 1.11183048852266 	 3.39781948562764
121 	 0.941062290453503 	 3.19755978769229
122 	 0.96887305456591 	 3.09802951865855
123 	 0.967679504548094 	 2.99789966969088
124 	 1.0134 	 3.03807152526473
125 	 1 	 3.03807152526473
126 	 1 	 3.03807152526473
127 	 1.07104795737123 	 3.25392030148248
128 	 0.9765984890363 	 3.17777364987233
129 	 1.05660377358491 	 3.35764763005378
130 	 1.11303571428571 	 3.73718172823665
131 	 0.941280282368041 	 3.51773547241527
132 	 0.991477756945628 	 3.48775647571837
133 	 1.00567302733368 	 3.50754261353833
134 	 1.02 	 3.57769346580909
135 	 1 	 3.57769346580909
136 	 1.00553041729512 	 3.59747960362905
137 	 0.9945 	 3.57769346580909
138 	 0.99932964638847 	 3.57529514607334
139 	 1.00620493040416 	 3.59747960362905
140 	 0.9945 	 3.57769346580909
141 	 1.00837942014413 	 3.607672462506
142 	 0.997174671763337 	 3.59747960362905
143 	 1.02 	 3.66942919570163
144 	 0.964052287581699 	 3.53752161023523
145 	 1.00559322033898 	 3.55730774805519
146 	 0.988875779538176 	 3.51773547241527
147 	 1.00562468041589 	 3.53752161023523
148 	 1 	 3.53752161023523
149 	 0.999491525423729 	 3.53572287043342
150 	 0.983550958114295 	 3.47756361684142
151 	 0.985689655172414 	 3.42779848232455
152 	 0.956270771383593 	 3.27790349884
153 	 0.976220962136455 	 3.19995810742804
154 	 0.980513397039535 	 3.13760179429847
155 	 0.990445251289891 	 3.10762279760156
156 	 0.977619139494501 	 3.03807152526473
157 	 1.11170317742254 	 3.37743376787374
158 	 1.00603586011007 	 3.39781948562764
159 	 0.958708311275807 	 3.25751778108611
160 	 0.972390944229707 	 3.16758079099538
161 	 0.945864092371758 	 2.99610092988906
162 	 0.913948369021413 	 2.73828155829565
163 	 0.912415152178673 	 2.49844958472038
164 	 1 	 2.49844958472038
165 	 1.03119750419966 	 2.57639497613234
166 	 1.00069816150803 	 2.57819371593415
167 	 1.0853488372093 	 2.79823955168946
168 	 1.02056995928862 	 2.85579922534753
169 	 0.997270627755616 	 2.84800468620633
170 	 0.989473684210526 	 2.81802568950942
171 	 0.992978723404255 	 2.79823955168946
172 	 1.0034283265481 	 2.80783283063247
173 	 1.01430706811873 	 2.84800468620633
174 	 1.03852631578947 	 2.95772781411702
175 	 0.973038718832353 	 2.87798368290324
176 	 1.01395833333333 	 2.9181555384771
177 	 0.993014177111157 	 2.8977698207232
178 	 0.993171942892613 	 2.87798368290324
179 	 1 	 2.87798368290324
180 	 0.986041666666667 	 2.83781182732938
181 	 0.971899429537291 	 2.7580676961156
182 	 1.00369565217391 	 2.76826055499255
183 	 1.01797704136885 	 2.81802568950942
184 	 1.00276595744681 	 2.82582022865062
185 	 0.990239762359431 	 2.79823955168946
186 	 1 	 2.79823955168946
187 	 0.978572959074352 	 2.73828155829565
188 	 0.99408802277206 	 2.72209290007931
189 	 1.01321585903084 	 2.7580676961156
190 	 0.957173913043478 	 2.63995044912978
191 	 1.03633885986827 	 2.73588323855989
192 	 1.01534078457155 	 2.77785383393556
193 	 1.04316857327865 	 2.8977698207232
194 	 1.02007034967929 	 2.9559290743152
195 	 1.08174442190669 	 3.19755978769229
196 	 0.937558597412338 	 2.99789966969087
197 	 1.0334 	 3.09802951865855
198 	 1.01935359009096 	 3.15798751205237
199 	 1.05999620277198 	 3.34745477117683
